Type,Price,Location,Bath,Area,Purpose,Bedrooms,Added,Precinct ,Main Features,,,
House,PKR2.35 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,6 hours ago,Not Found,Main FeaturesParking Spaces: 2FlooringElectricity BackupRoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Kitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport Service,,,
,,,,,,,,,,,,
Flat,PKR53.76 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,57 Sq. Yd.,For Sale,1,14 minutes ago,"Precinct 8,","RoomsBedrooms: 1Bathrooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,27 minutes ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,,,
,,,,,,,,,,,,
House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,28 minutes ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,,,
,,,,,,,,,,,,
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,28 minutes ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,,,
,,,,,,,,,,,,
House,PKR1.88 Crore,"Bahria Town Karachi, Karachi, Sindh",4,235 Sq. Yd.,For Sale,4,29 minutes ago,Precinct 27,"Main FeaturesFlooringElectricity BackupWaste DisposalRoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyCommunity FeaturesCommunity Lawn or GardenCommunity GymFirst Aid or Medical CentreKids Play AreaMosqueHealthcare RecreationalLawn or GardenOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR26.82 Lakh,"Bahria Town Karachi, Karachi, Sindh",-,33 Sq. Yd.,For Sale,-,31 minutes ago,Not Found,RoomsDrawing Room,,,
,,,,,,,,,,,,
Flat,PKR29.9 Lakh,"Bahria Town Karachi, Karachi, Sindh",-,33 Sq. Yd.,For Sale,-,31 minutes ago,Not Found,RoomsDrawing Room,,,
,,,,,,,,,,,,
Flat,PKR26.82 Lakh,"Bahria Town Karachi, Karachi, Sindh",-,33 Sq. Yd.,For Sale,-,31 minutes ago,Not Found,RoomsDrawing Room,,,
,,,,,,,,,,,,
Flat,PKR1.68 Crore,"Bahria Town Karachi, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,1 day ago,Not Found,"Main FeaturesBuilt in year: 2022Parking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in BuildingOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities",,,
,,,,,,,,,,,,
Flat,PKR65 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,1 day ago,Not Found,"Main FeaturesBuilt in year: 2022Parking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in BuildingOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities",,,
,,,,,,,,,,,,
House,PKR4.1 Crore,"Bahria Town Karachi, Karachi, Sindh",2,274 Sq. Yd.,For Sale,2,1 day ago,"Precinct 1,","RoomsBedrooms: 2Bathrooms: 2Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR87.32 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,97 Sq. Yd.,For Sale,2,1 day ago,Not Found,"Main FeaturesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalService Elevators in BuildingFurnishedRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities",,,
,,,,,,,,,,,,
House,PKR1.55 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,3,2 days ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR2.25 Crore,"Bahria Town Karachi, Karachi, Sindh",5,350 Sq. Yd.,For Sale,4,2 days ago,Precinct 35,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 4Bathrooms: 5Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR1.92 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,3 days ago,Precinct 11-A,RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,,,
,,,,,,,,,,,,
House,PKR1.95 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,3 days ago,Precinct 10-A,RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,,,
,,,,,,,,,,,,
Flat,PKR66 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,92 Sq. Yd.,For Sale,2,3 days ago,Not Found,Main FeaturesBuilt in year: 2.5Parking Spaces: 1Electricity BackupFloors in Building: 28,,,
,,,,,,,,,,,,
House,PKR1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,4 days ago,Not Found,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchensOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2.6 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,4,2 hours ago,Precinct 30,"Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 4Bathrooms: 5Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
Flat,PKR68 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,122 Sq. Yd.,For Sale,2,3 hours ago,Not Found,"Main FeaturesBuilt in year: 2023Parking Spaces: 2FlooringElectricity BackupFloor: 2Floors in Building: 9Elevators: 2Service Elevators in BuildingRoomsBedrooms: 2Bathrooms: 2Dining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,9 hours ago,Precinct 10-A,"Main FeaturesBuilt in year: 2018Parking Spaces: 2FlooringElectricity BackupWaste DisposalFloors: 2RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1Store RoomsLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessCommunity FeaturesMosqueHealthcare RecreationalLawn or GardenOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
House,PKR1.38 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,13 hours ago,Precinct 31,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR2.14 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,21 hours ago,Sports City,RoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 2,,,
,,,,,,,,,,,,
Flat,PKR47 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,61 Sq. Yd.,For Sale,1,21 hours ago,Not Found,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1,,,
,,,,,,,,,,,,
House,PKR1.5 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,21 hours ago,Precinct 12,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,,,
,,,,,,,,,,,,
Flat,PKR30.35 Lakh,"Bahria Town Karachi, Karachi, Sindh",-,33 Sq. Yd.,For Sale,-,32 minutes ago,Not Found,RoomsDrawing Room,,,
,,,,,,,,,,,,
House,PKR95 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,75 Sq. Yd.,For Sale,3,39 minutes ago,Bahria Greens,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,,,
,,,,,,,,,,,,
House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,39 minutes ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,,,
,,,,,,,,,,,,
House,PKR2.1 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,52 minutes ago,Precinct 35,"RoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2.1 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,52 minutes ago,Precinct 35,"RoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2.1 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,53 minutes ago,Precinct 35,"RoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.52 Crore,"Bahria Town Karachi, Karachi, Sindh",2,235 Sq. Yd.,For Sale,2,57 minutes ago,Precinct 31,"RoomsBedrooms: 2Bathrooms: 2Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.52 Crore,"Bahria Town Karachi, Karachi, Sindh",2,235 Sq. Yd.,For Sale,2,1 hour ago,Precinct 31,"RoomsBedrooms: 2Bathrooms: 2Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR95 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 days ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking Spaces: 2022FlooringElectricity BackupFloors: 2RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
House,PKR3.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,272 Sq. Yd.,For Sale,3,2 days ago,"Precinct 1,","Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
Flat,PKR70 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,2 days ago,Precinct 19,"Main FeaturesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupFloorFloors in Building: 6Elevators: 4RoomsBedrooms: 2Bathrooms: 2Store Rooms: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity GymFirst Aid or Medical CentreKids Play AreaBarbeque AreaMosqueOther Facilities
Maintenance StaffSecurity StaffPet Policy",,,
,,,,,,,,,,,,
House,PKR90 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,2 days ago,Not Found,"Main FeaturesBuilt in year: 1Parking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
